marca,modelo,modelo_anyo,precio_contado,precio_financiado,precio_nuevo,fecha_matriculacion,combustible,kilometraje,carroceria,garantia,color,distintivo_medioambiental,largo,ancho,alto,batalla,volumen_maletero,mma,numero_puertas,numero_plazas,cilindrada,numero_cilindros,sobrealimentacion,traccion,tipo_cambio,numero_marchas,potencia_kw,potencia_cv,par_nm,velocidad_maxima,aceleracion,consumo_urbano,consumo_carretera,consumo_medio,co2,capacidad_deposito,pais,provincia,vendedor
LINCOLN,Nautilus,2023,54950,,,10/2023,gasolina,8500,"4x4, suv o pickup",0,-,,,,,,,,,,,,,,,,,,,,,,,,,,spain,huesca,vendedor profesional
PORSCHE,Macan,2019,61999,,77593,08/2019,gasolina,76000,todo terreno,12 ,kreide,,4696,1923,1624,2807,488/1500,2580,5,5,2995,6,turbo,todo terreno traccion total permanente,automatica secuencial,7,260,354,480,254,5.3,11.3,7.5,8.9,204.0,65.0,spain,madrid,vendedor profesional
MERCEDES-BENZ,Clase A,2021,35900,33900,,11/2021,hibrido,38846,berlina mediana o grande,24 ,rojo,,,,,,,,,,,,,,,,,,,,,,,,,,spain,zaragoza,vendedor profesional
BMW,Serie 4,2022,94900,92900,131100,01/2022,gasolina,12900,coupe,12 ,sao paulo gelb,,4794,1887,1394,2857,440/0,2205,2,4,2993,6,turbo,total permanente,automatica secuencial,8,375,510,650,250,3.5,0.0,0.0,0.0,,59.0,spain,madrid,vendedor profesional
PORSCHE,Macan,2023,79900,,79064,05/2023,gasolina,21500,todo terreno,si,gris,,4726,1922,1621,2807,458/1503,2510,5,5,1984,4,turbo,todo terreno traccion total permanente,automatica secuencial,7,195,265,400,232,6.4,0.0,0.0,0.0,,65.0,spain,girona,vendedor profesional
AUDI,A3,2018,19900,17900,37995,02/2018,diesel,75875,convertible,12 ,blanco,,4423,1793,1409,2595,320/0,1925,2,4,1598,4,turbo de geometria variable,delantera,manual,6,85,116,250,200,11.4,4.8,3.7,4.1,111.0,50.0,spain,malaga,vendedor profesional
OPEL,Mokka,2019,16590,15090,24850,05/2019,gasolina,36843,todo terreno,12 ,negro,,4271,1781,1658,2555,356/1372,1789,5,5,1364,4,turbo,delantera,manual,6,103,140,200,196,9.9,7.5,5.0,5.9,150.0,52.0,spain,malaga,vendedor profesional
PEUGEOT,3008,2017,19999,,29470,09/2017,diesel,111000,monovolumen,12 ,blanco,,4365,1837,1625,2613,432/512,2020,5,5,1560,4,turbo de geometria variable,delantera,manual,6,88,121,300,183,12.0,4.6,3.8,4.1,108.0,60.0,spain,salamanca,vendedor profesional
BMW,X1,2017,22600,21600,35828,03/2017,diesel,82697,todo terreno,12 ,alpinweiß (solido),,4439,1821,1598,2670,505/1550,2065,5,5,1995,4,turbo de geometria variable,delantera,automatica secuencial,8,110,150,330,205,9.2,5.1,3.9,4.3,114.0,51.0,spain,valencia,vendedor profesional
CITROEN,C4,2016,15900,14900,23160,09/2016,gasolina,121000,berlina,si,azul,,4329,1789,1489,2608,380/408,1810,5,5,1199,3,,delantera,automatica secuencial,6,96,130,230,197,10.9,6.1,4.2,4.9,113.0,60.0,spain,pontevedra,vendedor profesional
AUDI,Q7,2020,69900,68900,88881,02/2020,diesel,44000,todo terreno,12 ,azul / metalizado,,5063,1970,1471,2995,865/0,3015,5,5,2967,6,turbo,todo terreno traccion total permanente,automatica secuencial,8,210,286,600,241,6.5,7.2,6.3,6.6,176.0,70.0,spain,valencia,vendedor profesional
OPEL,Crossland,2019,13900,12900,26180,03/2019,gasolina,101410,todo terreno,12 ,gris platino (metalizado) / metalizado,,4212,1765,1605,2604,410/1255,1770,5,5,1199,3,turbo,delantera,automatica secuencial,6,81,110,205,187,11.8,6.5,5.0,5.6,127.0,45.0,spain,valencia,vendedor profesional
